category;subcategory;level;question;correct;wrong1;wrong2;wrong3
Film i Telewizja;Aktorzy Starszego Pokolenia;bardzo trudne;Jak nazywała się aktorka, która wcieliła się w postać uroczej Basi w filmie "Pan Wołodyjowski"?;Magdalena Zawadzka;Pola Raksa;Elżbieta Starostecka;Beata Tyszkiewicz
Film i Telewizja;Aktorzy Starszego Pokolenia;bardzo trudne;Który wybitny polski aktor zagrał postać Bogumiła Niechcica w ekranizacji "Nocy i dni"?;Jerzy Bińczycki;Janusz Gajos;Franciszek Pieczka;Wojciech Pszoniak
Film i Telewizja;Aktorzy Starszego Pokolenia;bardzo trudne;Za jaką rolę Gustaw Holoubek przeszedł do historii polskiego teatru w słynnej inscenizacji Kazimierza Dejmka z 1967 roku?;Gustawa-Konrada;Kordiana;Hamleta;Wielkiego Księcia
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;Jak miał na nazwisko wybitny polski aktor Leon, który wystąpił w kilkuset filmach, m.in. w "Nożu w wodzie" i "Krzyżakach"?;Niemczyk;Hańcza;Pieczka;Pawlik
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;Jak nazywał się aktor, który przed wojną zasłynął wybitną rolą w "Znachorze" z 1937 roku jako profesor Wilczur?;Kazimierz Junosza-Stępowski;Aleksander Żabczyński;Mieczysław Cybulski;Józef Węgrzyn
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;Jak nazywał się polski aktor okrzyknięty polskim Jamesem Deanem, który zginął pod kołami pociągu?;Zbigniew Cybulski;Bogumił Kobiela;Leon Niemczyk;Gustaw Holoubek
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;Jak nazywał się wybitny aktor, który stworzył niezapomnianą kreację jako król Stach w "Potopie"?;Daniel Olbrychski;Andrzej Seweryn;Wojciech Pszoniak;Jerzy Zelnik
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;Kto wykreował niezapomnianą postać Pawła Pawlaka w filmowej trylogii Sylwestra Chęcińskiego?;Wacław Kowalski;Władysław Hańcza;Zdzisław Maklakiewicz;Jan Himilsbach
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;Kto zagrał tytułową rolę profesora Wilczura w przedwojennej ekranizacji "Znachora" z 1937 roku?;Kazimierz Junosza-Stępowski;Aleksander Żabczyński;Mieczysław Cybulski;Józef Węgrzyn
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;W jakiego bohatera wcielił się Władysław Hańcza w klasycznej komedii "Sami swoi"?;Władysława Kargula;Pawła Pawlaka;Jana Kazimierza;Sołtysa
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;W jakim sowieckim łagrze w 1943 roku zmarł tragicznie Eugeniusz Bodo?;W Kotłasie;W Workucie;Na Kołymie;Na Sołowkach
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;W jakim sowieckim łagrze zmarł tragicznie w 1943 roku słynny przedwojenny polski aktor Eugeniusz Bodo?;W Kotłasie;Na Sołowkach;W Workucie;Na Kołymie
Film i Telewizja;Aktorzy Starszego Pokolenia;trudne;W jakim słynnym filmie Marka Piwowskiego zagrał legendarny duet Zdzisław Maklakiewicz i Jan Himilsbach?;Rejs;Wniebowzięci;Hydrozagadka;Nóż w wodzie
